line_number,is_narration,speaker_internal,speaker_display,voice_id,original_text,translated_text
23,no,Foru,Foru,S035_B2_0034,"＊yawn*... My head hurts... I won’t drink anymore... At least, not today... I swear to Megion that ",
26,no,Foru,Foru,S035_B2_0035,"Ahhh, I’m sleepy, uuu, for now, let’s take a shower. Shower... ",
45,no,Foru,Foru,S035_B2_0036,"Okay, I feel better. Let’s get back to work today... Hm?",
54,no,Chimes,Chimes,S061_B2_0002,"I-It’s okay, I’ll do that. ",
56,no,Shaon,Shaon,,"Thank you for taking care of me, so I’m going to do it. ",
65,no,Foru,Foru,S035_B2_0037,Good morning. What’s wrong with the bells? I can pretty much imagine it.,
69,no,Chimes,Chimes,S061_B2_0003,When Shaon-sama helps me clean and do laundry... ,
71,no,Shaon,Shaon,,Yes. Please let me do something. ,
76,no,Foru,Foru,S035_B2_0038,"Everyone has their own job to do. The chimes are masters of housework, so please don’t take that.",
78,no,Shaon,Shaon,,"! ...I’m sorry, Chimes",
86,no,Foru,Foru,S035_B2_0039,"Shaon-kun, since you’re in the capital, you should go see the coliseum today. ",
88,no,Shaon,Shaon,,I heard about that in town yesterday.,
92,no,Foru,Foru,S035_B2_0040,Today’s the day of the match. I think it’ll be good social studies. I’ll let Radha guide you. Everyone go together at ,
94,no,Shaon,Shaon,,Thank you very much. I will wake everyone up at ,
98,no,Foru,Foru,S035_B2_0041,I’ll arrange for you to meet Shaon and the higher-ups.,
119,yes,,,,A tremendous roar engulfs the arena.,
140,no,Ebita,Ebita,S004_B2_0055,Amazing. I’ve never seen so many people here before! ,
145,no,Rada,Rada,S038_B2_0016,"Let the fighters and monsters fight, and the audience will bet on who wins. Just watch and enjoy... That’s the coliseum. It’s a specialty of the imperial capital, Starry Gate.",
149,no,Rada,Rada,S038_B2_0017,There are other races that compete for speed. I like that one a lot too~ ,
154,no,Urszula,Urszula,S008_B2_0068,I’m full of fighting spirit! It’s starting to itch! ,
165,no,Ponse,Host Ponse,S056_B2_0001,"First card. The rules are martial, heavenly! High-strung fighter raised in the northern Storm! Steiken!! I’ve already won eight!",
180,no,Steiken,Steiken,S055_B2_0001,"Hey, hey! Come at me! ",
191,no,Ponse,Host Ponse,S056_B2_0002,"Meanwhile, the bull of Nanbu Bagel! Jacoby!! I just won one last time! ",
205,no,Jacobie,Jacobie,S054_B2_0001,I’m so glad my opponent’s so lively. I’ll throw him down.,
222,no,Rada,Rada,S038_B2_0018,"Now, time to show off. If you’re going to bet, now’s your chance. Steyken or Jacoby",
224,yes,,,,The two fighters are performing a performance to show their strength.,
226,no,Shaon,Shaon,,"Who do you think will win, Urszula?",
231,no,Urszula,Urszula,S008_B2_0069,"Hmm. Both of them have a pretty strong atmosphere, but judging by their movements... I don’t think that Jacoby can catch Steyken’s speed. ",
236,no,Rada,Rada,S038_B2_0019,But the rule is that there’s a martial arts heaven. You can use both weapons and Heavenly Familias. I have no idea what’s going to happen. ,
245,no,Minjara,Minjara,S048_B2_0048,"I’m worried about fighting, but I’m also worried about the food stalls selling food! Damn it, I’ll look around!",
256,no,Ponse,Host Ponse,S056_B2_0003,"As I thought, Steyken of Stability is gaining popularity! It’s almost time for the deadline! ",
266,no,Rada,Rada,S038_B2_0020,"Well, even I’m a challenger, but this place is tough and tough. Fufufu, I have good intuition. Do you remember this? ",
